campo,registros,categorias,nulos,sin_informacion,pct_sin_informacion,no_aplica
codigo_localidad,6193,21,0,0,0.0,0
anio,6193,11,0,0,0.0,0
casos,6193,2,0,0,0.0,0
sexo,6193,2,0,0,0.0,0
mes,6193,13,0,1,0.02,0
dia,6193,8,0,1,0.02,0
franja_hora,6193,9,0,2047,33.05,0
pertenencia_grupal,6193,35,0,387,6.25,0
pais_nacimiento,6193,11,0,32,0.52,0
tipo_accidente,6193,11,0,139,2.24,0
circunstancia,6193,43,0,3558,57.45,0
condicion_victima,6193,4,0,44,0.71,0
medio_transporte,6193,24,0,58,0.94,2404
objeto_colision,6193,26,0,358,5.78,555
localidad,6193,21,0,250,4.04,0
ancestro_racial,6193,7,0,1189,19.2,0
pertenencia_etnica,6193,5,0,1890,30.52,611
ciclo_vital,6193,7,0,0,0.0,0
