circunstancia,casos
Sin información,3563
Desobedecer señales de tránsito,1156
Exceso de velocidad,634
Otra,224
Otro,222
Otras circunstancias no especificadas,138
Embriaguez (Alcohólica y no alcohólica),70
Malas condiciones de la vía,42
Posibles fallas mecánicas,26
Pasar en semáforo en rojo,18
Contravía,13
Embriaguez (alcohólica y no alcohólica),10
No mantener distancia de seguridad,9
Frenar bruscamente,7
Desastre no natural o accidente masivo,6
Cruzar sin observar,6
Transitar entre vehículos,5
Malas condiciones climáticas,5
Cambio de carril sin indicación e inadecuado,5
Vehículo mal estacionado,3
Transitar por vías prohibidas,3
Salir por delante de un vehículo,3
Pasar el semáforo en rojo,3
Adelantar por la derecha,3
Adelantar cerrando,3
Transitar distante de la acera u orilla de la calzada,2
Reverso imprudente,2
No respetar prelación,2
Conducir en contravía,2
Adelantar invadiendo carril de sentido contrario,2
Viajar colgado en los estribos,1
Transitar uno al lado del otro,1
Subirse al andén o vías peatonales o ciclorutas,1
Remolque sin precaución,1
Pararse sobre la calzada,1
No hacer uso de señales reflectivas,1
Enviar mensajes de texto,1
Descender o subir del vehículo en marcha,1
Dejar obstáculos en la vía,1
Cruzar en estado de embriaguez,1
Cruzar en diagonal,1
Circular por calzadas o carriles destinados a buses y busetas,1
Aprovisionamiento indebido,1
