anio,mes_numero,casos
2015,1.0,33
2015,2.0,30
2015,3.0,34
2015,4.0,53
2015,5.0,58
2015,6.0,38
2015,7.0,47
2015,8.0,41
2015,9.0,55
2015,10.0,60
2015,11.0,48
2015,12.0,59
2016,,1
2016,1.0,48
2016,2.0,39
2016,3.0,53
2016,4.0,46
2016,5.0,54
2016,6.0,60
2016,7.0,46
2016,8.0,57
2016,9.0,48
2016,10.0,52
2016,11.0,41
2016,12.0,46
2017,1.0,37
2017,2.0,55
2017,3.0,39
2017,4.0,41
2017,5.0,50
2017,6.0,49
2017,7.0,46
2017,8.0,50
2017,9.0,45
2017,10.0,44
2017,11.0,41
2017,12.0,56
2018,1.0,34
2018,2.0,44
2018,3.0,48
2018,4.0,48
2018,5.0,45
2018,6.0,54
2018,7.0,55
2018,8.0,38
2018,9.0,39
2018,10.0,42
2018,11.0,42
2018,12.0,38
2019,1.0,26
2019,2.0,40
2019,3.0,49
2019,4.0,40
2019,5.0,50
2019,6.0,39
2019,7.0,56
2019,8.0,39
2019,9.0,46
2019,10.0,61
2019,11.0,33
2019,12.0,44
2020,1.0,29
2020,2.0,41
2020,3.0,26
2020,4.0,24
2020,5.0,23
2020,6.0,27
2020,7.0,27
2020,8.0,39
2020,9.0,42
2020,10.0,47
2020,11.0,40
2020,12.0,41
2021,1.0,33
2021,2.0,38
2021,3.0,39
2021,4.0,32
2021,5.0,33
2021,6.0,50
2021,7.0,50
2021,8.0,50
2021,9.0,46
2021,10.0,41
2021,11.0,42
2021,12.0,54
2022,1.0,38
2022,2.0,44
2022,3.0,56
2022,4.0,52
2022,5.0,50
2022,6.0,50
2022,7.0,58
2022,8.0,56
2022,9.0,48
2022,10.0,63
2022,11.0,58
2022,12.0,57
2023,1.0,53
2023,2.0,55
2023,3.0,47
2023,4.0,46
2023,5.0,56
2023,6.0,65
2023,7.0,44
2023,8.0,55
2023,9.0,48
2023,10.0,56
2023,11.0,56
2023,12.0,48
2024,1.0,58
2024,2.0,60
2024,3.0,53
2024,4.0,52
2024,5.0,58
2024,6.0,53
2024,7.0,35
2024,8.0,50
2024,9.0,58
2024,10.0,62
2024,11.0,59
2024,12.0,67
2025,1.0,50
2025,2.0,41
2025,3.0,59
2025,4.0,50
2025,5.0,43
2025,6.0,57
2025,7.0,59
2025,8.0,57
2025,9.0,48
2025,10.0,62
2025,11.0,45
2025,12.0,41
