dia,dia_numero,franja_hora,hora_inicio,casos
lunes,1,00:00 a 02:59,0,36
lunes,1,03:00 a 05:59,3,64
lunes,1,06:00 a 08:59,6,76
lunes,1,09:00 a 11:59,9,71
lunes,1,12:00 a 14:59,12,70
lunes,1,15:00 a 17:59,15,94
lunes,1,18:00 a 20:59,18,89
lunes,1,21:00 a 23:59,21,57
martes,2,00:00 a 02:59,0,23
martes,2,03:00 a 05:59,3,39
martes,2,06:00 a 08:59,6,107
martes,2,09:00 a 11:59,9,82
martes,2,12:00 a 14:59,12,87
martes,2,15:00 a 17:59,15,62
martes,2,18:00 a 20:59,18,81
martes,2,21:00 a 23:59,21,68
miércoles,3,00:00 a 02:59,0,36
miércoles,3,03:00 a 05:59,3,44
miércoles,3,06:00 a 08:59,6,94
miércoles,3,09:00 a 11:59,9,75
miércoles,3,12:00 a 14:59,12,68
miércoles,3,15:00 a 17:59,15,86
miércoles,3,18:00 a 20:59,18,99
miércoles,3,21:00 a 23:59,21,72
jueves,4,00:00 a 02:59,0,52
jueves,4,03:00 a 05:59,3,49
jueves,4,06:00 a 08:59,6,89
jueves,4,09:00 a 11:59,9,65
jueves,4,12:00 a 14:59,12,81
jueves,4,15:00 a 17:59,15,78
jueves,4,18:00 a 20:59,18,91
jueves,4,21:00 a 23:59,21,82
viernes,5,00:00 a 02:59,0,52
viernes,5,03:00 a 05:59,3,89
viernes,5,06:00 a 08:59,6,98
viernes,5,09:00 a 11:59,9,71
viernes,5,12:00 a 14:59,12,68
viernes,5,15:00 a 17:59,15,83
viernes,5,18:00 a 20:59,18,92
viernes,5,21:00 a 23:59,21,113
sábado,6,00:00 a 02:59,0,73
sábado,6,03:00 a 05:59,3,86
sábado,6,06:00 a 08:59,6,65
sábado,6,09:00 a 11:59,9,64
sábado,6,12:00 a 14:59,12,82
sábado,6,15:00 a 17:59,15,74
sábado,6,18:00 a 20:59,18,109
sábado,6,21:00 a 23:59,21,116
domingo,7,00:00 a 02:59,0,80
domingo,7,03:00 a 05:59,3,88
domingo,7,06:00 a 08:59,6,59
domingo,7,09:00 a 11:59,9,54
domingo,7,12:00 a 14:59,12,43
domingo,7,15:00 a 17:59,15,65
domingo,7,18:00 a 20:59,18,78
domingo,7,21:00 a 23:59,21,80
