anio,tipo_accidente,casos
2015,Atropello,273
2015,Choque con otro vehículo,182
2015,Choque con objeto fijo o en movimiento,37
2015,Volcamiento,19
2015,Sin información,19
2015,Caída del ocupante,15
2015,Caída de aeronave,10
2015,Caída del vehículo a un precipicio,1
2016,Atropello,285
2016,Choque,274
2016,Volcamiento,21
2016,Caída del ocupante,8
2016,Sin información,3
2017,Atropello,275
2017,Choque,221
2017,Volcamiento,40
2017,Sin información,10
2017,Caída del ocupante,7
2018,Atropello,243
2018,Choque,218
2018,Volcamiento,31
2018,Sin información,25
2018,Caída del ocupante,8
2018,Caída del vehículo a un precipicio,2
2019,Atropello,248
2019,Choque,218
2019,Volcamiento,29
2019,Caída del ocupante,14
2019,Sin información,13
2019,Caída del vehículo a un precipicio,1
2020,Choque,187
2020,Atropello,145
2020,Volcamiento,39
2020,Sin información,22
2020,Caída del ocupante,9
2020,Caída de aeronave,4
2021,Choque,258
2021,Atropello,189
2021,Volcamiento,36
2021,Sin información,19
2021,Caída del vehículo a un precipicio,3
2021,Caída del ocupante,3
2022,Choque,322
2022,Atropello,246
2022,Volcamiento,43
2022,Sin información,11
2022,Caída del ocupante,7
2022,Caída del vehículo a un precipicio,1
2023,Choque,313
2023,Atropello,249
2023,Volcamiento,43
2023,Sin información,10
2023,Caída del ocupante,9
2023,Caída del vehículo a un precipicio,5
2024,Choque,355
2024,Atropello,254
2024,Volcamiento,38
2024,Caída del ocupante,13
2024,Sin información,5
2025,Choque,317
2025,Atropello,242
2025,Volcamiento,34
2025,Caída del ocupante,11
2025,Caída del vehículo a un precipicio,4
2025,Sin información,2
2025,Incendio,1
2025,Hundimiento,1
